bandwidth_mbps,cpu_percent,gpu_percent,ram_percent,rtt_ms,jitter_ms,motion_score,change_score,onboard_latency,offboard_latency,best_route
0.02,70.25,0.0,61.6,0.99,0.11,0.0,0.0,0.1083,0.2081,0
0.02,70.25,0.0,61.6,0.99,0.11,0.0,0.0,0.1109,0.2083,0
0.02,70.25,0.0,61.6,0.99,0.11,0.0,0.0,0.1128,0.2084,0
0.02,70.25,0.0,61.6,0.99,0.11,0.0081,0.0041,0.022,0.1231,0
0.02,70.25,0.0,61.6,0.99,0.11,0.0081,0.0041,0.0234,0.1233,0
0.02,70.25,0.0,61.6,0.99,0.11,0.0081,0.0041,0.0245,0.1234,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0086,0.0043,0.0361,0.0831,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0086,0.0043,0.0376,0.0834,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0086,0.0043,0.0386,0.0836,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0501,0.0044,0.0528,0.0982,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0501,0.0044,0.0547,0.0985,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0501,0.0044,0.0594,0.0988,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0087,0.0044,0.0212,0.0944,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0087,0.0044,0.0233,0.0946,0
0.02,76.5,28.0,62.82,0.99,0.11,0.0087,0.0044,0.0269,0.0947,0
0.02,89.5,9.0,64.15,0.99,0.11,0.0088,0.0044,0.0219,0.0622,0
0.02,89.5,9.0,64.15,0.99,0.11,0.0088,0.0044,0.0233,0.0624,0
0.02,89.5,9.0,64.15,0.99,0.11,0.0088,0.0044,0.0245,0.0626,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0518,0.0046,0.0318,0.0747,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0518,0.0046,0.0476,0.0749,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0518,0.0046,0.0489,0.075,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0082,0.0041,0.0201,0.0664,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0082,0.0041,0.0219,0.0666,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0082,0.0041,0.0231,0.0667,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0084,0.0042,0.0226,0.056,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0084,0.0042,0.0262,0.0562,0
0.02,89.5,9.0,64.15,1.12,0.11,0.0084,0.0042,0.0284,0.0564,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0522,0.0044,0.0253,0.0609,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0522,0.0044,0.0355,0.0611,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0522,0.0044,0.0393,0.0612,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0087,0.0043,0.0178,0.0677,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0087,0.0043,0.0227,0.0679,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0087,0.0043,0.0268,0.0681,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0089,0.0044,0.015,0.0644,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0089,0.0044,0.0183,0.0646,0
0.02,83.5,0.0,65.16,1.12,0.11,0.0089,0.0044,0.0221,0.0648,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0456,0.0044,0.0197,0.0703,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0456,0.0044,0.0293,0.0706,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0456,0.0044,0.0308,0.0708,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0087,0.0043,0.0152,0.0544,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0087,0.0043,0.0166,0.0546,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0087,0.0043,0.0177,0.0547,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0085,0.0043,0.0203,0.0531,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0085,0.0043,0.0228,0.0534,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0085,0.0043,0.0261,0.0535,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0515,0.0042,0.0265,0.0709,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0515,0.0042,0.0347,0.0718,0
0.02,78.5,21.0,65.67,1.12,0.11,0.0515,0.0042,0.0359,0.072,0
0.03,76.25,17.0,66.04,1.51,0.16,0.0094,0.0047,0.0234,0.0541,0
